onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.138795	2.000573	choice_stranger	2.000573	4	high	2	4
12.391906	1.000000	outcome_stranger_defect	2.000573	4	high	2	4
15.204588	2.101353	choice_computer	2.101353	8	high	2	8
20.458498	1.000000	outcome_computer_defect	2.101353	8	high	2	8
29.726318	2.162615	choice_computer	2.162615	2	high	0	2
36.479187	1.000000	outcome_computer_recip	2.162615	2	high	0	2
40.936080	1.819585	choice_friend	1.819585	8	high	0	8
46.188885	1.000000	outcome_friend_recip	1.819585	8	high	0	8
50.614970	1.724431	choice_computer	1.724431	2	high	0	2
57.367160	1.000000	outcome_computer_defect	1.724431	2	high	0	2
60.198196	1.824579	choice_friend	1.824579	4	high	2	4
65.451385	1.000000	outcome_friend_recip	1.824579	4	high	2	4
71.606630	2.416041	choice_stranger	2.416041	2	low	2	8
79.859470	1.000000	outcome_stranger_recip	2.416041	2	low	2	8
82.669780	1.986062	choice_computer	1.986062	4	high	2	4
89.422170	1.000000	outcome_computer_defect	1.986062	4	high	2	4
92.343630	2.445226	choice_stranger	2.445226	8	high	0	8
97.596535	1.000000	outcome_stranger_defect	2.445226	8	high	0	8
102.042660	2.129764	choice_friend	2.129764	2	high	0	2
108.795220	1.000000	outcome_friend_defect	2.129764	2	high	0	2
111.714710	2.258125	choice_stranger	2.258125	4	low	4	8
116.967710	1.000000	outcome_stranger_defect	2.258125	4	low	4	8
127.868900	1.219871	choice_friend	1.219871	8	high	4	8
133.121730	1.000000	outcome_friend_defect	1.219871	8	high	4	8
135.949940	2.505764	choice_friend	2.505764	8	high	2	8
141.202450	1.000000	outcome_friend_recip	2.505764	8	high	2	8
144.013800	3.000000	missed_trial	3.000000	n/a	n/a	0	8
155.193480	2.062096	choice_stranger	2.062096	2	low	2	8
160.445600	1.000000	outcome_stranger_defect	2.062096	2	low	2	8
164.980970	1.807981	choice_stranger	1.807981	2	low	2	8
171.732300	1.000000	outcome_stranger_defect	1.807981	2	low	2	8
174.564220	2.124429	choice_friend	2.124429	4	high	2	4
179.816300	1.000000	outcome_friend_defect	2.124429	4	high	2	4
184.259780	1.862516	choice_friend	1.862516	4	high	0	4
189.510770	1.000000	outcome_friend_defect	1.862516	4	high	0	4
195.553560	2.202063	choice_computer	2.202063	2	low	2	4
200.805730	1.000000	outcome_computer_recip	2.202063	2	low	2	4
206.956620	2.232390	choice_stranger	2.232390	2	low	2	4
212.209100	1.000000	outcome_stranger_recip	2.232390	2	low	2	4
218.248730	2.390430	choice_computer	2.390430	4	high	0	4
225.001330	1.000000	outcome_computer_defect	2.390430	4	high	0	4
227.811050	2.377648	choice_computer	2.377648	0	low	0	8
235.874250	2.381148	choice_computer	2.381148	2	low	2	8
242.625950	1.000000	outcome_computer_defect	2.381148	2	low	2	8
250.301570	2.503885	choice_friend	2.503885	2	low	2	8
255.553880	1.000000	outcome_friend_defect	2.503885	2	low	2	8
258.476300	2.079315	choice_stranger	2.079315	2	low	2	8
263.729500	1.000000	outcome_stranger_recip	2.079315	2	low	2	8
268.265350	1.923608	choice_stranger	1.923608	2	high	0	2
275.018200	1.000000	outcome_stranger_defect	1.923608	2	high	0	2
279.554470	1.850961	choice_stranger	1.850961	4	low	4	8
286.307680	1.000000	outcome_stranger_recip	1.850961	4	low	4	8
289.138500	2.333244	choice_friend	2.333244	8	high	0	8
295.891300	1.000000	outcome_friend_defect	2.333244	8	high	0	8
298.702970	2.285296	choice_computer	2.285296	4	low	4	8
306.955660	1.000000	outcome_computer_defect	2.285296	4	low	4	8
309.785220	2.036428	choice_friend	2.036428	4	high	0	4
315.038240	1.000000	outcome_friend_recip	2.036428	4	high	0	4
317.955400	1.833096	choice_stranger	1.833096	4	high	0	4
324.707860	1.000000	outcome_stranger_defect	1.833096	4	high	0	4
327.518830	2.069770	choice_computer	2.069770	4	high	0	4
332.771330	1.000000	outcome_computer_recip	2.069770	4	high	0	4
342.042020	1.812887	choice_computer	1.812887	2	low	2	8
347.293100	1.000000	outcome_computer_recip	1.812887	2	low	2	8
350.124900	2.480284	choice_friend	2.480284	2	low	2	8
355.378400	1.000000	outcome_friend_recip	2.480284	2	low	2	8
359.914060	2.207787	choice_stranger	2.207787	4	high	0	4
366.666440	1.000000	outcome_stranger_recip	2.207787	4	high	0	4
371.092070	2.112767	choice_computer	2.112767	4	low	4	8
376.344500	1.000000	outcome_computer_recip	2.112767	4	low	4	8
379.175000	1.713741	choice_friend	1.713741	2	high	0	2
384.427200	1.000000	outcome_friend_recip	1.713741	2	high	0	2
388.871280	2.150621	choice_friend	2.150621	2	low	2	8
394.123840	1.000000	outcome_friend_defect	2.150621	2	low	2	8
398.664200	1.857716	choice_stranger	1.857716	0	low	0	8
408.246830	1.791237	choice_friend	1.791237	4	low	4	8
414.998780	1.000000	outcome_friend_recip	1.791237	4	low	4	8
421.158230	2.263638	choice_stranger	2.263638	2	high	0	2
427.910680	1.000000	outcome_stranger_recip	2.263638	2	high	0	2
435.567700	1.703533	choice_computer	1.703533	2	low	2	8
440.820860	1.000000	outcome_computer_recip	1.703533	2	low	2	8
